cod_ibge,E,X,M,IRBI,PH_x,PH_y,Ph_x,Ph_y,R_x,R_y,Angulo,Odu,Theta,S_m,S_potencial,S_dispersiva,Regime
1302306,0.0003492209610828058,0.5,0.0,0.1751396883844331,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1302405,0.000681262978790829,0.5,0.0,0.17527250519151633,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1302504,0.0018555214601395683,0.5,0.0,0.17574220858405581,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1302553,0.00025706782299174066,0.5,0.0,0.1751028271291967,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1302603,0.11992955174327609,0.5,0.0,0.22297182069731042,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1302702,0.0008035093970115288,0.5,0.0,0.1753214037588046,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1302801,0.00016923532130515168,0.5,0.0,0.17506769412852205,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1302900,0.0006646591335819467,0.5,0.0,0.17526586365343277,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1303007,0.00021120691575842078,0.5,0.0,0.17508448276630337,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1303106,0.00032194925632962,0.5,0.0,0.17512877970253185,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1303205,0.00019102139300161455,0.5,0.0,0.17507640855720064,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1303304,0.00025772855158307846,0.5,0.0,0.1751030914206332,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1303403,0.0015758450905008674,0.5,0.0,0.17563033803620035,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1303502,0.00021232116845485284,0.5,0.0,0.17508492846738194,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1303536,0.0006046512343337749,0.5,0.0,0.1752418604937335,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1303569,0.0004075046229990224,0.5,0.0,0.17516300184919958,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1303601,0.00018617323088981433,0.5,0.0,0.17507446929235593,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1303700,0.0003005712506111673,0.5,0.0,0.17512022850024445,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1303809,0.0005183167365094669,0.5,0.0,0.1752073266946038,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1303908,0.0003249579500431358,0.5,0.0,0.17512998318001724,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1303957,0.00011514332157238201,0.5,0.0,0.17504605732862893,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1304005,0.0003777253210959914,0.5,0.0,0.17515109012843838,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
